YEAR,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
1980,Female,Other,40 to 69,Imperial County,0,0,0,0,0,0,14,0
1980,Female,White,Under 18,Imperial County,0,5,2,0,1,8,23,31
1980,Female,White,18 to 19,Imperial County,2,6,1,0,1,10,26,0
1980,Female,White,20 to 29,Imperial County,7,8,2,1,0,18,71,0
1980,Female,White,30 to 39,Imperial County,3,5,1,0,2,11,45,0
1980,Female,White,40 to 69,Imperial County,3,2,0,0,0,5,48,0
1980,Female,White,70 and over,Imperial County,0,0,0,0,0,0,1,0
1980,Male,Black,Under 18,Inyo County,0,0,0,0,0,0,0,0
1980,Male,Black,18 to 19,Inyo County,0,1,0,0,0,1,0,0
1980,Male,Black,20 to 29,Inyo County,0,2,0,0,1,3,2,0
1980,Male,Black,30 to 39,Inyo County,0,0,0,0,0,0,1,0
1980,Male,Black,40 to 69,Inyo County,0,0,0,0,0,0,2,0
1980,Male,Hispanic,Under 18,Inyo County,0,1,0,0,0,1,1,0
1980,Male,Hispanic,18 to 19,Inyo County,1,1,0,0,0,2,4,0
1980,Male,Hispanic,20 to 29,Inyo County,3,3,1,0,0,7,24,0
1980,Male,Hispanic,30 to 39,Inyo County,1,0,3,0,0,4,4,0
1980,Male,Hispanic,40 to 69,Inyo County,1,1,0,0,0,2,12,0
1980,Male,Hispanic,70 and over,Inyo County,0,0,0,0,0,0,1,0
1980,Male,Other,Under 18,Inyo County,0,8,0,0,1,9,6,1
1980,Male,Other,18 to 19,Inyo County,3,3,0,0,0,6,15,0
1980,Male,Other,20 to 29,Inyo County,6,8,2,0,2,18,88,0
1980,Male,Other,30 to 39,Inyo County,4,0,1,0,3,8,40,0
1980,Male,Other,40 to 69,Inyo County,2,2,0,0,0,4,50,0
1980,Male,Other,70 and over,Inyo County,0,0,0,1,0,1,0,0
1980,Male,White,Under 18,Inyo County,5,34,11,0,1,51,32,9
1980,Male,White,18 to 19,Inyo County,3,24,4,0,4,35,34,0
1980,Male,White,20 to 29,Inyo County,18,17,17,2,7,61,132,0
1980,Male,White,30 to 39,Inyo County,9,11,3,3,2,28,68,0
1980,Male,White,40 to 69,Inyo County,4,17,2,0,0,23,76,0
1980,Male,White,70 and over,Inyo County,0,1,0,0,0,1,4,0
1980,Female,Black,18 to 19,Inyo County,0,2,0,0,0,2,0,0
1980,Female,Hispanic,Under 18,Inyo County,1,0,1,0,0,2,1,0
1980,Female,Hispanic,18 to 19,Inyo County,0,0,0,0,0,0,0,0
1980,Female,Hispanic,30 to 39,Inyo County,0,0,1,0,0,1,0,0
1980,Female,Other,Under 18,Inyo County,0,1,0,0,0,1,1,1
1980,Female,Other,18 to 19,Inyo County,0,1,0,0,0,1,3,0
1980,Female,Other,20 to 29,Inyo County,1,0,0,0,0,1,9,0
1980,Female,Other,30 to 39,Inyo County,0,0,1,0,0,1,1,0
1980,Female,Other,40 to 69,Inyo County,0,1,0,0,0,1,2,0
1980,Female,White,Under 18,Inyo County,2,9,3,0,0,14,7,5
1980,Female,White,18 to 19,Inyo County,2,2,2,0,0,6,2,0
1980,Female,White,20 to 29,Inyo County,1,6,2,0,1,10,17,0
1980,Female,White,30 to 39,Inyo County,2,1,3,0,1,7,16,0
1980,Female,White,40 to 69,Inyo County,0,1,0,0,2,3,8,0
1980,Male,Black,Under 18,Kern County,57,177,14,4,4,256,301,27
1980,Male,Black,18 to 19,Kern County,27,68,25,0,2,122,183,0
1980,Male,Black,20 to 29,Kern County,102,144,108,3,11,368,814,0
1980,Male,Black,30 to 39,Kern County,41,48,30,2,3,124,417,0
1980,Male,Black,40 to 69,Kern County,34,16,11,0,3,64,505,0
1980,Male,Black,70 and over,Kern County,2,0,1,0,1,4,18,0
1980,Male,Hispanic,Under 18,Kern County,159,375,33,1,32,600,1375,110
1980,Male,Hispanic,18 to 19,Kern County,80,143,43,2,20,288,986,0
1980,Male,Hispanic,20 to 29,Kern County,283,348,159,8,66,864,3853,0
1980,Male,Hispanic,30 to 39,Kern County,69,81,29,3,13,195,1369,0
1980,Male,Hispanic,40 to 69,Kern County,30,23,6,7,10,76,1387,0
1980,Male,Hispanic,70 and over,Kern County,0,1,0,0,0,1,34,0
1980,Male,Other,Under 18,Kern County,2,15,1,0,2,20,29,4
1980,Male,Other,18 to 19,Kern County,2,1,1,0,2,6,10,0
1980,Male,Other,20 to 29,Kern County,10,10,6,2,2,30,107,0
1980,Male,Other,30 to 39,Kern County,7,3,1,0,0,11,68,0
1980,Male,Other,40 to 69,Kern County,4,0,0,0,1,5,91,0
1980,Male,Other,70 and over,Kern County,0,0,0,0,0,0,11,0
1980,Male,White,Under 18,Kern County,109,750,37,22,23,941,2014,316
1980,Male,White,18 to 19,Kern County,65,220,65,2,22,374,1100,0
1980,Male,White,20 to 29,Kern County,253,420,230,21,89,1013,3876,0
1980,Male,White,30 to 39,Kern County,126,160,85,22,30,423,1941,0
1980,Male,White,40 to 69,Kern County,86,72,19,24,26,227,2467,0
1980,Male,White,70 and over,Kern County,5,1,1,1,2,10,77,0
1980,Female,Black,Under 18,Kern County,8,17,1,0,1,27,103,16
1980,Female,Black,18 to 19,Kern County,10,8,5,0,1,24,75,0
1980,Female,Black,20 to 29,Kern County,21,19,10,1,3,54,232,0
1980,Female,Black,30 to 39,Kern County,12,8,4,0,1,25,49,0
1980,Female,Black,40 to 69,Kern County,11,10,0,0,0,21,29,0
1980,Female,Black,70 and over,Kern County,1,0,0,0,0,1,0,0
1980,Female,Hispanic,Under 18,Kern County,8,51,2,1,1,63,282,84
1980,Female,Hispanic,18 to 19,Kern County,5,13,10,0,2,30,68,0
1980,Female,Hispanic,20 to 29,Kern County,11,40,26,0,3,80,286,0
1980,Female,Hispanic,30 to 39,Kern County,8,11,8,0,0,27,144,0
1980,Female,Hispanic,40 to 69,Kern County,0,2,3,0,0,5,100,0
1980,Female,Other,Under 18,Kern County,0,0,0,0,0,0,9,3
1980,Female,Other,18 to 19,Kern County,2,3,0,0,0,5,7,0
1980,Female,Other,20 to 29,Kern County,1,1,0,0,0,2,16,0
1980,Female,Other,30 to 39,Kern County,0,1,0,0,0,1,6,0
1980,Female,Other,40 to 69,Kern County,1,2,0,0,1,4,9,0
1980,Female,Other,70 and over,Kern County,0,0,0,0,0,0,1,0
1980,Female,White,Under 18,Kern County,16,129,14,2,7,168,515,330
1980,Female,White,18 to 19,Kern County,10,14,18,2,2,46,172,0
1980,Female,White,20 to 29,Kern County,32,89,66,1,10,198,608,0
1980,Female,White,30 to 39,Kern County,14,29,15,2,2,62,297,0
1980,Female,White,40 to 69,Kern County,8,7,11,2,2,30,322,0
1980,Female,White,70 and over,Kern County,0,0,0,0,1,1,9,0
1980,Male,Black,Under 18,Kings County,6,26,0,3,3,38,64,5
1980,Male,Black,18 to 19,Kings County,12,19,1,0,0,32,28,0
1980,Male,Black,20 to 29,Kings County,33,25,10,0,8,76,148,0
